STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022-Q1,3747317.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022-Q2,3855049.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022-Q3,3932844.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2022-Q4,4009584.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023-Q1,4081578.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023-Q2,4157747.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023-Q3,4207254.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023-Q4,4237649.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2024-Q1,4256008.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q1,2148158.6
