FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,CN,628,2025-10,133.212839
M,CN,628,2025-11,133.224334
M,CN,628,2025-12,133.347294
M,DE,628,2007-01,94.733856
M,DE,628,2007-02,95.074218
M,DE,628,2007-03,95.301125
M,DE,628,2007-04,95.75494
M,DE,628,2007-05,95.75494
M,DE,628,2007-06,95.868394
M,DE,628,2007-07,96.322209
M,DE,628,2007-08,96.208755
M,DE,628,2007-09,96.322209
M,DE,628,2007-10,96.549116
M,DE,628,2007-11,97.116385
M,DE,628,2007-12,97.683653
M,DE,628,2008-01,97.343292
M,DE,628,2008-02,97.797107
M,DE,628,2008-03,98.250922
M,DE,628,2008-04,98.024014
M,DE,628,2008-05,98.591283
M,DE,628,2008-06,98.931644
M,DE,628,2008-07,99.498913
M,DE,628,2008-08,99.158552
M,DE,628,2008-09,99.158552
M,DE,628,2008-10,98.931644
M,DE,628,2008-11,98.477829
M,DE,628,2008-12,98.704737
M,DE,628,2009-01,98.250922
M,DE,628,2009-02,98.81819
M,DE,628,2009-03,98.704737
M,DE,628,2009-04,98.704737
M,DE,628,2009-05,98.704737
M,DE,628,2009-06,99.045098
M,DE,628,2009-07,99.045098
M,DE,628,2009-08,99.272005
M,DE,628,2009-09,98.81819
M,DE,628,2009-10,98.931644
M,DE,628,2009-11,98.81819
M,DE,628,2009-12,99.612366
M,DE,628,2010-01,99.045098
M,DE,628,2010-02,99.385459
M,DE,628,2010-03,99.952728
M,DE,628,2010-04,99.952728
M,DE,628,2010-05,99.952728
M,DE,628,2010-06,99.952728
M,DE,628,2010-07,100.066181
M,DE,628,2010-08,100.179635
M,DE,628,2010-09,100.066181
M,DE,628,2010-10,100.179635
M,DE,628,2010-11,100.293089
M,DE,628,2010-12,100.973811
M,DE,628,2011-01,100.63345
M,DE,628,2011-02,101.314172
M,DE,628,2011-03,101.881441
M,DE,628,2011-04,101.881441
M,DE,628,2011-05,101.881441
M,DE,628,2011-06,101.994895
M,DE,628,2011-07,102.221802
M,DE,628,2011-08,102.335256
M,DE,628,2011-09,102.448709
M,DE,628,2011-10,102.562163
M,DE,628,2011-11,102.675617
M,DE,628,2011-12,102.902524
M,DE,628,2012-01,102.789071
M,DE,628,2012-02,103.469793
M,DE,628,2012-03,104.037062
M,DE,628,2012-04,103.923608
M,DE,628,2012-05,103.810154
M,DE,628,2012-06,103.6967
M,DE,628,2012-07,104.037062
M,DE,628,2012-08,104.490876
M,DE,628,2012-09,104.60433
M,DE,628,2012-10,104.60433
M,DE,628,2012-11,104.60433
M,DE,628,2012-12,104.944691
M,DE,628,2013-01,104.490876
M,DE,628,2013-02,105.058145
M,DE,628,2013-03,105.51196
M,DE,628,2013-04,105.058145
M,DE,628,2013-05,105.51196
M,DE,628,2013-06,105.625414
M,DE,628,2013-07,106.079229
M,DE,628,2013-08,106.079229
M,DE,628,2013-09,106.079229
M,DE,628,2013-10,105.852321
M,DE,628,2013-11,106.079229
M,DE,628,2013-12,106.533043
M,DE,628,2014-01,105.852321
M,DE,628,2014-02,106.41959
M,DE,628,2014-03,106.646497
M,DE,628,2014-04,106.533043
M,DE,628,2014-05,106.41959
M,DE,628,2014-06,106.646497
M,DE,628,2014-07,106.986858
M,DE,628,2014-08,106.986858
M,DE,628,2014-09,106.986858
M,DE,628,2014-10,106.759951
M,DE,628,2014-11,106.759951
M,DE,628,2014-12,106.646497
M,DE,628,2015-01,105.625414
M,DE,628,2015-02,106.41959
M,DE,628,2015-03,106.986858
M,DE,628,2015-04,107.440673
M,DE,628,2015-05,107.667581
M,DE,628,2015-06,107.667581
M,DE,628,2015-07,107.894488
M,DE,628,2015-08,107.781034
M,DE,628,2015-09,107.667581
M,DE,628,2015-10,107.667581
M,DE,628,2015-11,106.986858
M,DE,628,2015-12,106.986858
M,DE,628,2016-01,106.192682
M,DE,628,2016-02,106.533043
M,DE,628,2016-03,107.213766
M,DE,628,2016-04,107.327219
M,DE,628,2016-05,107.894488
M,DE,628,2016-06,108.007942
M,DE,628,2016-07,108.348303
M,DE,628,2016-08,108.234849
M,DE,628,2016-09,108.348303
M,DE,628,2016-10,108.461757
M,DE,628,2016-11,107.781034
M,DE,628,2016-12,108.461757
M,DE,628,2017-01,107.894488
M,DE,628,2017-02,108.461757
M,DE,628,2017-03,108.688664
M,DE,628,2017-04,109.142479
M,DE,628,2017-05,109.142479
M,DE,628,2017-06,109.48284
M,DE,628,2017-07,109.936655
M,DE,628,2017-08,110.050109
M,DE,628,2017-09,110.050109
M,DE,628,2017-10,109.936655
M,DE,628,2017-11,109.48284
M,DE,628,2017-12,109.936655
M,DE,628,2018-01,109.369386
M,DE,628,2018-02,109.709748
M,DE,628,2018-03,110.277016
M,DE,628,2018-04,110.617377
M,DE,628,2018-05,111.411553
M,DE,628,2018-06,111.525007
M,DE,628,2018-07,111.978822
M,DE,628,2018-08,112.092276
M,DE,628,2018-09,112.319183
M,DE,628,2018-10,112.432637
M,DE,628,2018-11,111.751915
M,DE,628,2018-12,111.751915
M,DE,628,2019-01,110.844285
M,DE,628,2019-02,111.2981
M,DE,628,2019-03,111.751915
M,DE,628,2019-04,112.772998
M,DE,628,2019-05,112.999905
M,DE,628,2019-06,113.340267
M,DE,628,2019-07,113.794081
M,DE,628,2019-08,113.680628
M,DE,628,2019-09,113.680628
M,DE,628,2019-10,113.680628
M,DE,628,2019-11,112.886452
M,DE,628,2019-12,113.45372
M,DE,628,2020-01,113.226813
M,DE,628,2020-02,113.567174
M,DE,628,2020-03,113.794081
M,DE,628,2020-04,113.907535
M,DE,628,2020-05,113.907535
M,DE,628,2020-06,114.020989
M,DE,628,2020-07,113.113359
M,DE,628,2020-08,113.113359
M,DE,628,2020-09,113.113359
M,DE,628,2020-10,113.340267
M,DE,628,2020-11,113.113359
M,DE,628,2020-12,113.226813
M,DE,628,2021-01,114.588258
M,DE,628,2021-02,115.26898
M,DE,628,2021-03,115.836248
M,DE,628,2021-04,116.17661
M,DE,628,2021-05,116.403517
M,DE,628,2021-06,116.743878
M,DE,628,2021-07,117.311147
M,DE,628,2021-08,117.424601
M,DE,628,2021-09,117.764962
M,DE,628,2021-10,118.33223
M,DE,628,2021-11,118.559138
M,DE,628,2021-12,118.786045
M,DE,628,2022-01,119.353314
M,DE,628,2022-02,120.260944
M,DE,628,2022-03,122.643472
M,DE,628,2022-04,123.437648
M,DE,628,2022-05,124.572185
