FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,FR,N,A,M,770,A,2021-Q4,161.3
Q,FR,N,A,M,770,A,2022-Q1,160.2
Q,FR,N,A,M,770,A,2022-Q2,159.1
Q,FR,N,A,M,770,A,2022-Q3,159.7
Q,FR,N,A,M,770,A,2022-Q4,159.0
Q,FR,N,A,M,770,A,2023-Q1,158.1
Q,FR,N,A,M,770,A,2023-Q2,156.1
Q,FR,N,A,M,770,A,2023-Q3,154.8
Q,FR,N,A,M,770,A,2023-Q4,154.1
Q,FR,N,A,M,770,A,2024-Q1,152.7
Q,FR,N,A,M,770,A,2024-Q2,153.2
Q,FR,N,A,M,770,A,2024-Q3,152.8
Q,FR,N,A,M,770,A,2024-Q4,153.3
Q,FR,N,A,M,770,A,2025-Q1,154.5
Q,FR,N,A,M,770,A,2025-Q2,155.0
Q,GB,N,A,M,770,A,2007-Q1,78.1
Q,GB,N,A,M,770,A,2007-Q2,77.6
Q,GB,N,A,M,770,A,2007-Q3,79.7
Q,GB,N,A,M,770,A,2007-Q4,80.9
Q,GB,N,A,M,770,A,2008-Q1,83.7
Q,GB,N,A,M,770,A,2008-Q2,82.8
Q,GB,N,A,M,770,A,2008-Q3,83.3
Q,GB,N,A,M,770,A,2008-Q4,89.5
Q,GB,N,A,M,770,A,2009-Q1,88.7
Q,GB,N,A,M,770,A,2009-Q2,84.5
Q,GB,N,A,M,770,A,2009-Q3,87.4
Q,GB,N,A,M,770,A,2009-Q4,86.6
Q,GB,N,A,M,770,A,2010-Q1,87.6
Q,GB,N,A,M,770,A,2010-Q2,84.9
Q,GB,N,A,M,770,A,2010-Q3,85.0
Q,GB,N,A,M,770,A,2010-Q4,81.7
Q,GB,N,A,M,770,A,2011-Q1,81.5
Q,GB,N,A,M,770,A,2011-Q2,81.4
Q,GB,N,A,M,770,A,2011-Q3,80.9
Q,GB,N,A,M,770,A,2011-Q4,79.8
Q,GB,N,A,M,770,A,2012-Q1,82.5
Q,GB,N,A,M,770,A,2012-Q2,83.4
Q,GB,N,A,M,770,A,2012-Q3,83.7
Q,GB,N,A,M,770,A,2012-Q4,81.9
Q,GB,N,A,M,770,A,2013-Q1,79.7
Q,GB,N,A,M,770,A,2013-Q2,81.5
Q,GB,N,A,M,770,A,2013-Q3,79.3
Q,GB,N,A,M,770,A,2013-Q4,77.4
Q,GB,N,A,M,770,A,2014-Q1,75.3
Q,GB,N,A,M,770,A,2014-Q2,73.5
Q,GB,N,A,M,770,A,2014-Q3,72.5
Q,GB,N,A,M,770,A,2014-Q4,71.2
Q,GB,N,A,M,770,A,2015-Q1,72.0
Q,GB,N,A,M,770,A,2015-Q2,68.7
Q,GB,N,A,M,770,A,2015-Q3,68.9
Q,GB,N,A,M,770,A,2015-Q4,69.2
Q,GB,N,A,M,770,A,2016-Q1,69.8
Q,GB,N,A,M,770,A,2016-Q2,72.9
Q,GB,N,A,M,770,A,2016-Q3,75.0
Q,GB,N,A,M,770,A,2016-Q4,74.7
