FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,AU,H,A,M,770,A,2018-Q4,122.3
Q,AU,H,A,M,770,A,2019-Q1,121.6
Q,AU,H,A,M,770,A,2019-Q2,120.6
Q,AU,H,A,M,770,A,2019-Q3,119.2
Q,AU,H,A,M,770,A,2019-Q4,119.0
Q,AU,H,A,M,770,A,2020-Q1,118.9
Q,AU,H,A,M,770,A,2020-Q2,120.9
Q,AU,H,A,M,770,A,2020-Q3,122.0
Q,AU,H,A,M,770,A,2020-Q4,122.3
Q,AU,H,A,M,770,A,2021-Q1,121.9
Q,AU,H,A,M,770,A,2021-Q2,119.4
Q,AU,H,A,M,770,A,2021-Q3,118.2
Q,AU,H,A,M,770,A,2021-Q4,117.7
Q,AU,H,A,M,770,A,2022-Q1,116.3
Q,AU,H,A,M,770,A,2022-Q2,115.0
Q,AU,H,A,M,770,A,2022-Q3,112.4
Q,AU,H,A,M,770,A,2022-Q4,110.7
Q,AU,H,A,M,770,A,2023-Q1,109.4
Q,AU,H,A,M,770,A,2023-Q2,109.9
Q,AU,H,A,M,770,A,2023-Q3,109.6
Q,AU,H,A,M,770,A,2023-Q4,109.6
Q,AU,H,A,M,770,A,2024-Q1,110.2
Q,AU,H,A,M,770,A,2024-Q2,111.2
Q,AU,H,A,M,770,A,2024-Q3,111.5
Q,AU,H,A,M,770,A,2024-Q4,112.2
Q,AU,H,A,M,770,A,2025-Q1,112.7
Q,AU,H,A,M,770,A,2025-Q2,113.7
Q,GB,H,A,M,770,A,2007-Q1,91.9
Q,GB,H,A,M,770,A,2007-Q2,93.1
Q,GB,H,A,M,770,A,2007-Q3,94.2
Q,GB,H,A,M,770,A,2007-Q4,94.3
Q,GB,H,A,M,770,A,2008-Q1,94.5
Q,GB,H,A,M,770,A,2008-Q2,94.8
Q,GB,H,A,M,770,A,2008-Q3,94.9
Q,GB,H,A,M,770,A,2008-Q4,94.8
Q,GB,H,A,M,770,A,2009-Q1,95.2
Q,GB,H,A,M,770,A,2009-Q2,95.9
Q,GB,H,A,M,770,A,2009-Q3,96.6
Q,GB,H,A,M,770,A,2009-Q4,97.4
Q,GB,H,A,M,770,A,2010-Q1,97.6
Q,GB,H,A,M,770,A,2010-Q2,96.5
Q,GB,H,A,M,770,A,2010-Q3,95.9
Q,GB,H,A,M,770,A,2010-Q4,94.5
Q,GB,H,A,M,770,A,2011-Q1,93.3
Q,GB,H,A,M,770,A,2011-Q2,92.9
Q,GB,H,A,M,770,A,2011-Q3,92.4
Q,GB,H,A,M,770,A,2011-Q4,91.6
Q,GB,H,A,M,770,A,2012-Q1,90.9
Q,GB,H,A,M,770,A,2012-Q2,91.0
Q,GB,H,A,M,770,A,2012-Q3,90.6
Q,GB,H,A,M,770,A,2012-Q4,90.1
Q,GB,H,A,M,770,A,2013-Q1,90.1
Q,GB,H,A,M,770,A,2013-Q2,89.6
Q,GB,H,A,M,770,A,2013-Q3,89.4
Q,GB,H,A,M,770,A,2013-Q4,88.9
Q,GB,H,A,M,770,A,2014-Q1,88.1
Q,GB,H,A,M,770,A,2014-Q2,87.7
Q,GB,H,A,M,770,A,2014-Q3,87.2
Q,GB,H,A,M,770,A,2014-Q4,87.0
Q,GB,H,A,M,770,A,2015-Q1,86.6
Q,GB,H,A,M,770,A,2015-Q2,86.6
Q,GB,H,A,M,770,A,2015-Q3,86.9
Q,GB,H,A,M,770,A,2015-Q4,86.9
Q,GB,H,A,M,770,A,2016-Q1,87.0
Q,GB,H,A,M,770,A,2016-Q2,87.3
Q,GB,H,A,M,770,A,2016-Q3,87.3
Q,GB,H,A,M,770,A,2016-Q4,86.9
Q,GB,H,A,M,770,A,2017-Q1,86.9
Q,GB,H,A,M,770,A,2017-Q2,86.2
Q,GB,H,A,M,770,A,2017-Q3,86.2
Q,GB,H,A,M,770,A,2017-Q4,85.9
Q,GB,H,A,M,770,A,2018-Q1,85.4
Q,GB,H,A,M,770,A,2018-Q2,85.2
Q,GB,H,A,M,770,A,2018-Q3,85.2
Q,GB,H,A,M,770,A,2018-Q4,85.1
Q,GB,H,A,M,770,A,2019-Q1,83.6
Q,GB,H,A,M,770,A,2019-Q2,83.9
Q,GB,H,A,M,770,A,2019-Q3,83.9
Q,GB,H,A,M,770,A,2019-Q4,83.9
Q,GB,H,A,M,770,A,2020-Q1,83.9
Q,GB,H,A,M,770,A,2020-Q2,86.9
Q,GB,H,A,M,770,A,2020-Q3,88.9
Q,GB,H,A,M,770,A,2020-Q4,90.8
Q,GB,H,A,M,770,A,2021-Q1,92.0
Q,GB,H,A,M,770,A,2021-Q2,89.4
Q,GB,H,A,M,770,A,2021-Q3,87.9
Q,GB,H,A,M,770,A,2021-Q4,85.4
Q,GB,H,A,M,770,A,2022-Q1,83.5
Q,GB,H,A,M,770,A,2022-Q2,82.2
Q,GB,H,A,M,770,A,2022-Q3,81.4
Q,GB,H,A,M,770,A,2022-Q4,80.1
Q,GB,H,A,M,770,A,2023-Q1,78.6
Q,GB,H,A,M,770,A,2023-Q2,77.5
Q,GB,H,A,M,770,A,2023-Q3,77.3
Q,GB,H,A,M,770,A,2023-Q4,76.8
Q,GB,H,A,M,770,A,2024-Q1,76.4
Q,GB,H,A,M,770,A,2024-Q2,76.3
Q,GB,H,A,M,770,A,2024-Q3,76.1
Q,GB,H,A,M,770,A,2024-Q4,75.3
Q,GB,H,A,M,770,A,2025-Q1,74.9
Q,GB,H,A,M,770,A,2025-Q2,74.3
