FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,US,P,A,M,770,A,2011-Q2,157.7
Q,US,P,A,M,770,A,2011-Q3,156.8
Q,US,P,A,M,770,A,2011-Q4,156.1
Q,US,P,A,M,770,A,2012-Q1,154.5
Q,US,P,A,M,770,A,2012-Q2,153.4
Q,US,P,A,M,770,A,2012-Q3,153.0
Q,US,P,A,M,770,A,2012-Q4,152.7
Q,US,P,A,M,770,A,2013-Q1,151.5
Q,US,P,A,M,770,A,2013-Q2,151.6
Q,US,P,A,M,770,A,2013-Q3,151.6
Q,US,P,A,M,770,A,2013-Q4,151.6
Q,US,P,A,M,770,A,2014-Q1,151.5
Q,US,P,A,M,770,A,2014-Q2,151.2
Q,US,P,A,M,770,A,2014-Q3,150.4
Q,US,P,A,M,770,A,2014-Q4,150.6
Q,US,P,A,M,770,A,2015-Q1,149.9
Q,US,P,A,M,770,A,2015-Q2,150.7
Q,US,P,A,M,770,A,2015-Q3,151.0
Q,US,P,A,M,770,A,2015-Q4,150.8
Q,US,P,A,M,770,A,2016-Q1,151.4
Q,US,P,A,M,770,A,2016-Q2,152.1
Q,US,P,A,M,770,A,2016-Q3,153.0
Q,US,P,A,M,770,A,2016-Q4,152.5
Q,US,P,A,M,770,A,2017-Q1,152.7
Q,US,P,A,M,770,A,2017-Q2,153.4
Q,US,P,A,M,770,A,2017-Q3,153.5
Q,US,P,A,M,770,A,2017-Q4,154.1
Q,US,P,A,M,770,A,2018-Q1,153.3
Q,US,P,A,M,770,A,2018-Q2,153.9
Q,US,P,A,M,770,A,2018-Q3,153.4
Q,US,P,A,M,770,A,2018-Q4,153.4
Q,US,P,A,M,770,A,2019-Q1,153.3
Q,US,P,A,M,770,A,2019-Q2,153.6
Q,US,P,A,M,770,A,2019-Q3,153.7
Q,US,P,A,M,770,A,2019-Q4,153.1
Q,US,P,A,M,770,A,2020-Q1,156.2
Q,US,P,A,M,770,A,2020-Q2,162.0
Q,US,P,A,M,770,A,2020-Q3,163.0
Q,US,P,A,M,770,A,2020-Q4,164.3
Q,US,P,A,M,770,A,2021-Q1,164.6
Q,US,P,A,M,770,A,2021-Q2,162.6
Q,US,P,A,M,770,A,2021-Q3,160.8
Q,US,P,A,M,770,A,2021-Q4,159.4
Q,US,P,A,M,770,A,2022-Q1,158.1
Q,US,P,A,M,770,A,2022-Q2,156.9
Q,US,P,A,M,770,A,2022-Q3,155.1
Q,US,P,A,M,770,A,2022-Q4,153.5
Q,US,P,A,M,770,A,2023-Q1,151.7
Q,US,P,A,M,770,A,2023-Q2,150.1
Q,US,P,A,M,770,A,2023-Q3,148.5
Q,US,P,A,M,770,A,2023-Q4,147.1
Q,US,P,A,M,770,A,2024-Q1,146.1
Q,US,P,A,M,770,A,2024-Q2,145.2
Q,US,P,A,M,770,A,2024-Q3,144.6
Q,US,P,A,M,770,A,2024-Q4,142.5
Q,US,P,A,M,770,A,2025-Q1,141.5
Q,US,P,A,M,770,A,2025-Q2,140.9
Q,IT,P,A,M,770,A,2007-Q1,104.1
Q,IT,P,A,M,770,A,2007-Q2,106.7
Q,IT,P,A,M,770,A,2007-Q3,107.6
Q,IT,P,A,M,770,A,2007-Q4,111.3
Q,IT,P,A,M,770,A,2008-Q1,114.9
Q,IT,P,A,M,770,A,2008-Q2,115.3
Q,IT,P,A,M,770,A,2008-Q3,115.3
Q,IT,P,A,M,770,A,2008-Q4,114.9
Q,IT,P,A,M,770,A,2009-Q1,118.3
Q,IT,P,A,M,770,A,2009-Q2,122.1
Q,IT,P,A,M,770,A,2009-Q3,122.5
Q,IT,P,A,M,770,A,2009-Q4,123.4
Q,IT,P,A,M,770,A,2010-Q1,123.6
Q,IT,P,A,M,770,A,2010-Q2,123.9
Q,IT,P,A,M,770,A,2010-Q3,124.1
Q,IT,P,A,M,770,A,2010-Q4,124.1
Q,IT,P,A,M,770,A,2011-Q1,123.9
Q,IT,P,A,M,770,A,2011-Q2,124.1
Q,IT,P,A,M,770,A,2011-Q3,123.6
Q,IT,P,A,M,770,A,2011-Q4,122.9
Q,IT,P,A,M,770,A,2012-Q1,123.5
Q,IT,P,A,M,770,A,2012-Q2,124.1
Q,IT,P,A,M,770,A,2012-Q3,124.2
Q,IT,P,A,M,770,A,2012-Q4,125.1
Q,IT,P,A,M,770,A,2013-Q1,124.5
Q,IT,P,A,M,770,A,2013-Q2,124.1
Q,IT,P,A,M,770,A,2013-Q3,123.7
Q,IT,P,A,M,770,A,2013-Q4,123.0
Q,IT,P,A,M,770,A,2014-Q1,122.6
Q,IT,P,A,M,770,A,2014-Q2,122.6
Q,IT,P,A,M,770,A,2014-Q3,122.3
Q,IT,P,A,M,770,A,2014-Q4,121.0
Q,IT,P,A,M,770,A,2015-Q1,121.0
Q,IT,P,A,M,770,A,2015-Q2,120.3
