FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
M,R,N,JP,2008-10,118.44
M,R,N,JP,2008-11,126.11
M,R,N,JP,2008-12,132.1
M,R,N,JP,2009-01,133.29
M,R,N,JP,2009-02,132.59
M,R,N,JP,2009-03,125.02
M,R,N,JP,2009-04,120.8
M,R,N,JP,2009-05,119.5
M,R,N,JP,2009-06,117.54
M,R,N,JP,2009-07,119.8
M,R,N,JP,2009-08,118.03
M,R,N,JP,2009-09,121.16
M,R,N,JP,2009-10,120.23
M,R,N,JP,2009-11,120.94
M,R,N,JP,2009-12,120.64
M,R,N,JP,2010-01,118.93
M,R,N,JP,2010-02,122.28
M,R,N,JP,2010-03,121.15
M,R,N,JP,2010-04,116.68
M,R,N,JP,2010-05,122.18
M,R,N,JP,2010-06,125.44
M,R,N,JP,2010-07,127.34
M,R,N,JP,2010-08,129.26
M,R,N,JP,2010-09,129.48
M,R,N,JP,2010-10,129.77
M,R,N,JP,2010-11,128.62
M,R,N,JP,2010-12,128.02
M,R,N,JP,2011-01,127.25
M,R,N,JP,2011-02,125.62
M,R,N,JP,2011-03,125.44
M,R,N,JP,2011-04,120.2
M,R,N,JP,2011-05,123.15
M,R,N,JP,2011-06,124.01
M,R,N,JP,2011-07,125.29
M,R,N,JP,2011-08,129.18
M,R,N,JP,2011-09,132.83
M,R,N,JP,2011-10,134.35
M,R,N,JP,2011-11,132.32
M,R,N,JP,2011-12,133.13
M,R,N,JP,2012-01,135.11
M,R,N,JP,2012-02,130.44
M,R,N,JP,2012-03,123.97
M,R,N,JP,2012-04,125.71
M,R,N,JP,2012-05,129.74
M,R,N,JP,2012-06,131.26
M,R,N,JP,2012-07,131.47
M,R,N,JP,2012-08,130.73
M,R,N,JP,2012-09,129.18
M,R,N,JP,2012-10,127.05
M,R,N,JP,2012-11,123.99
M,R,N,JP,2012-12,118.86
M,R,N,JP,2013-01,111.41
M,R,N,JP,2013-02,106.21
M,R,N,JP,2013-03,105.47
M,R,N,JP,2013-04,102.49
M,R,N,JP,2013-05,99.59
M,R,N,JP,2013-06,103.33
M,R,N,JP,2013-07,101.55
M,R,N,JP,2013-08,102.88
M,R,N,JP,2013-09,100.76
M,R,N,JP,2013-10,101.3
M,R,N,JP,2013-11,99.52
M,R,N,JP,2013-12,95.83
M,R,N,JP,2014-01,95.89
M,R,N,JP,2014-02,97.46
M,R,N,JP,2014-03,96.45
M,R,N,JP,2014-04,97.57
M,R,N,JP,2014-05,98.38
M,R,N,JP,2014-06,98.07
M,R,N,JP,2014-07,98.69
M,R,N,JP,2014-08,98.37
M,R,N,JP,2014-09,95.72
M,R,N,JP,2014-10,96.03
M,R,N,JP,2014-11,90.28
M,R,N,JP,2014-12,89.15
M,R,N,JP,2015-01,91.99
M,R,N,JP,2015-02,92.12
M,R,N,JP,2015-03,92.19
M,R,N,JP,2015-04,92.62
M,R,N,JP,2015-05,90.52
M,R,N,JP,2015-06,88.25
M,R,N,JP,2015-07,89.78
M,R,N,JP,2015-08,90.65
M,R,N,JP,2015-09,93.16
M,R,N,JP,2015-10,92.56
M,R,N,JP,2015-11,91.95
M,R,N,JP,2015-12,92.82
M,R,N,JP,2016-01,96.51
M,R,N,JP,2016-02,98.6
M,R,N,JP,2016-03,98.85
M,R,N,JP,2016-04,100.49
M,R,N,JP,2016-05,101.73
M,R,N,JP,2016-06,104.84
M,R,N,JP,2016-07,106.55
M,R,N,JP,2016-08,108.49
M,R,N,JP,2016-09,107.73
M,R,N,JP,2016-10,107.14
M,R,N,JP,2016-11,104.22
M,R,N,JP,2016-12,98.05
M,R,N,JP,2017-01,98.34
M,R,N,JP,2017-02,98.77
M,R,N,JP,2017-03,98.18
M,R,N,JP,2017-04,100.49
M,R,N,JP,2017-05,97.66
M,R,N,JP,2017-06,97.99
M,R,N,JP,2017-07,95.59
M,R,N,JP,2017-08,96.97
M,R,N,JP,2017-09,95.71
M,R,N,JP,2017-10,94.58
M,R,N,JP,2017-11,94.81
M,R,N,JP,2017-12,94.38
M,R,N,JP,2018-01,94.65
M,R,N,JP,2018-02,96.44
M,R,N,JP,2018-03,97.64
M,R,N,JP,2018-04,96.04
M,R,N,JP,2018-05,95.86
M,R,N,JP,2018-06,96.1
M,R,N,JP,2018-07,95.27
M,R,N,JP,2018-08,96.44
M,R,N,JP,2018-09,95.17
M,R,N,JP,2018-10,95.26
M,R,N,JP,2018-11,95.41
M,R,N,JP,2018-12,96.25
M,R,N,JP,2019-01,99.0
M,R,N,JP,2019-02,97.43
M,R,N,JP,2019-03,96.55
M,R,N,JP,2019-04,96.22
M,R,N,JP,2019-05,98.38
M,R,N,JP,2019-06,99.43
M,R,N,JP,2019-07,99.52
M,R,N,JP,2019-08,102.58
M,R,N,JP,2019-09,101.35
M,R,N,JP,2019-10,100.38
M,R,N,JP,2019-11,99.56
M,R,N,JP,2019-12,98.87
M,R,N,JP,2020-01,98.54
M,R,N,JP,2020-02,98.66
M,R,N,JP,2020-03,102.05
M,R,N,JP,2020-04,102.92
M,R,N,JP,2020-05,103.03
M,R,N,JP,2020-06,100.2
M,R,N,JP,2020-07,100.18
M,R,N,JP,2020-08,99.45
M,R,N,JP,2020-09,99.43
M,R,N,JP,2020-10,99.1
M,R,N,JP,2020-11,98.81
M,R,N,JP,2020-12,97.62
M,R,N,JP,2021-01,97.56
M,R,N,JP,2021-02,95.94
M,R,N,JP,2021-03,93.52
M,R,N,JP,2021-04,91.56
M,R,N,JP,2021-05,90.72
M,R,N,JP,2021-06,89.89
M,R,N,JP,2021-07,90.76
M,R,N,JP,2021-08,91.06
M,R,N,JP,2021-09,90.93
M,R,N,JP,2021-10,88.28
M,R,N,JP,2021-11,87.89
M,R,N,JP,2021-12,88.07
M,R,N,JP,2022-01,86.92
M,R,N,JP,2022-02,86.41
M,R,N,JP,2022-03,84.2
M,R,N,JP,2022-04,79.58
M,R,N,JP,2022-05,78.87
M,R,N,JP,2022-06,75.25
M,R,N,JP,2022-07,75.24
M,R,N,JP,2022-08,76.32
M,R,N,JP,2022-09,73.65
M,R,N,JP,2022-10,72.13
M,R,N,JP,2022-11,73.0
M,R,N,JP,2022-12,75.63
M,R,N,JP,2023-01,77.27
M,R,N,JP,2023-02,75.3
M,R,N,JP,2023-03,75.22
M,R,N,JP,2023-04,74.81
M,R,N,JP,2023-05,72.95
M,R,N,JP,2023-06,70.48
M,R,N,JP,2023-07,70.26
M,R,N,JP,2023-08,69.03
M,R,N,JP,2023-09,68.32
M,R,N,JP,2023-10,68.5
M,R,N,JP,2023-11,67.48
M,R,N,JP,2023-12,69.42
M,R,N,JP,2024-01,68.49
M,R,N,JP,2024-02,66.96
M,R,N,JP,2024-03,66.65
M,R,N,JP,2024-04,65.72
M,R,N,JP,2024-05,64.69
M,R,N,JP,2024-06,64.19
M,R,N,JP,2024-07,64.23
M,R,N,JP,2024-08,68.93
M,R,N,JP,2024-09,69.74
M,R,N,JP,2024-10,67.68
M,R,N,JP,2024-11,67.35
M,R,N,JP,2024-12,68.14
M,R,N,JP,2025-01,67.79
M,R,N,JP,2025-02,69.03
M,R,N,JP,2025-03,69.48
M,R,N,JP,2025-04,70.82
M,R,N,JP,2025-05,69.47
M,R,N,JP,2025-06,68.45
M,R,N,JP,2025-07,67.1
M,R,N,JP,2025-08,67.11
M,R,N,JP,2025-09,66.63
M,R,N,JP,2025-10,65.91
M,R,N,JP,2025-11,65.15
M,R,N,JP,2025-12,64.26
M,R,N,JP,2026-01,63.91
M,R,N,IT,2007-01,104.59
M,R,N,IT,2007-02,104.78
M,R,N,IT,2007-03,104.7
M,R,N,IT,2007-04,104.64
M,R,N,IT,2007-05,104.84
M,R,N,IT,2007-06,104.85
M,R,N,IT,2007-07,105.4
M,R,N,IT,2007-08,105.31
M,R,N,IT,2007-09,105.43
M,R,N,IT,2007-10,105.72
M,R,N,IT,2007-11,106.1
M,R,N,IT,2007-12,106.25
M,R,N,IT,2008-01,107.03
M,R,N,IT,2008-02,106.77
M,R,N,IT,2008-03,107.43
M,R,N,IT,2008-04,107.89
M,R,N,IT,2008-05,107.72
M,R,N,IT,2008-06,107.79
M,R,N,IT,2008-07,108.42
M,R,N,IT,2008-08,108.03
M,R,N,IT,2008-09,107.03
M,R,N,IT,2008-10,105.97
M,R,N,IT,2008-11,105.86
M,R,N,IT,2008-12,107.45
M,R,N,IT,2009-01,107.36
M,R,N,IT,2009-02,106.67
M,R,N,IT,2009-03,107.51
M,R,N,IT,2009-04,107.25
M,R,N,IT,2009-05,107.51
M,R,N,IT,2009-06,107.69
M,R,N,IT,2009-07,108.07
M,R,N,IT,2009-08,108.11
M,R,N,IT,2009-09,108.33
M,R,N,IT,2009-10,108.54
M,R,N,IT,2009-11,108.37
M,R,N,IT,2009-12,107.99
M,R,N,IT,2010-01,107.68
M,R,N,IT,2010-02,106.55
M,R,N,IT,2010-03,106.07
M,R,N,IT,2010-04,105.66
M,R,N,IT,2010-05,104.44
M,R,N,IT,2010-06,103.68
M,R,N,IT,2010-07,104.78
M,R,N,IT,2010-08,104.71
M,R,N,IT,2010-09,104.45
M,R,N,IT,2010-10,105.65
M,R,N,IT,2010-11,105.06
M,R,N,IT,2010-12,104.12
M,R,N,IT,2011-01,104.63
M,R,N,IT,2011-02,104.86
M,R,N,IT,2011-03,105.12
M,R,N,IT,2011-04,105.92
M,R,N,IT,2011-05,105.45
M,R,N,IT,2011-06,105.52
M,R,N,IT,2011-07,105.38
M,R,N,IT,2011-08,105.36
M,R,N,IT,2011-09,104.86
M,R,N,IT,2011-10,105.45
M,R,N,IT,2011-11,105.01
M,R,N,IT,2011-12,104.62
M,R,N,IT,2012-01,104.3
M,R,N,IT,2012-02,104.62
M,R,N,IT,2012-03,104.6
M,R,N,IT,2012-04,104.7
M,R,N,IT,2012-05,104.17
M,R,N,IT,2012-06,104.16
M,R,N,IT,2012-07,103.56
M,R,N,IT,2012-08,103.57
M,R,N,IT,2012-09,104.05
M,R,N,IT,2012-10,104.11
M,R,N,IT,2012-11,103.87
M,R,N,IT,2012-12,104.51
M,R,N,IT,2013-01,105.73
M,R,N,IT,2013-02,105.91
M,R,N,IT,2013-03,105.06
M,R,N,IT,2013-04,105.28
M,R,N,IT,2013-05,105.27
M,R,N,IT,2013-06,105.86
M,R,N,IT,2013-07,105.91
M,R,N,IT,2013-08,106.47
M,R,N,IT,2013-09,105.93
M,R,N,IT,2013-10,106.18
M,R,N,IT,2013-11,105.74
M,R,N,IT,2013-12,106.15
M,R,N,IT,2014-01,106.68
M,R,N,IT,2014-02,106.18
M,R,N,IT,2014-03,106.18
M,R,N,IT,2014-04,106.01
M,R,N,IT,2014-05,105.62
M,R,N,IT,2014-06,105.3
M,R,N,IT,2014-07,105.05
M,R,N,IT,2014-08,104.95
M,R,N,IT,2014-09,103.95
M,R,N,IT,2014-10,103.86
M,R,N,IT,2014-11,103.88
M,R,N,IT,2014-12,104.08
M,R,N,IT,2015-01,102.72
M,R,N,IT,2015-02,101.86
M,R,N,IT,2015-03,100.35
M,R,N,IT,2015-04,99.94
M,R,N,IT,2015-05,100.45
M,R,N,IT,2015-06,100.91
M,R,N,IT,2015-07,100.61
M,R,N,IT,2015-08,101.49
M,R,N,IT,2015-09,101.55
M,R,N,IT,2015-10,101.52
M,R,N,IT,2015-11,100.3
M,R,N,IT,2015-12,100.86
M,R,N,IT,2016-01,101.67
M,R,N,IT,2016-02,101.81
M,R,N,IT,2016-03,101.15
M,R,N,IT,2016-04,101.12
M,R,N,IT,2016-05,101.12
M,R,N,IT,2016-06,100.84
M,R,N,IT,2016-07,101.07
M,R,N,IT,2016-08,101.42
M,R,N,IT,2016-09,101.23
M,R,N,IT,2016-10,101.02
M,R,N,IT,2016-11,100.66
M,R,N,IT,2016-12,100.35
M,R,N,IT,2017-01,101.0
M,R,N,IT,2017-02,100.78
M,R,N,IT,2017-03,100.64
M,R,N,IT,2017-04,100.53
M,R,N,IT,2017-05,101.2
M,R,N,IT,2017-06,101.41
M,R,N,IT,2017-07,102.09
M,R,N,IT,2017-08,102.91
M,R,N,IT,2017-09,102.59
M,R,N,IT,2017-10,102.19
M,R,N,IT,2017-11,102.01
M,R,N,IT,2017-12,102.38
M,R,N,IT,2018-01,103.39
M,R,N,IT,2018-02,103.24
M,R,N,IT,2018-03,103.17
M,R,N,IT,2018-04,102.88
M,R,N,IT,2018-05,102.08
M,R,N,IT,2018-06,101.98
M,R,N,IT,2018-07,102.28
M,R,N,IT,2018-08,102.2
M,R,N,IT,2018-09,101.77
M,R,N,IT,2018-10,101.24
M,R,N,IT,2018-11,101.14
M,R,N,IT,2018-12,101.22
M,R,N,IT,2019-01,101.63
M,R,N,IT,2019-02,101.24
M,R,N,IT,2019-03,100.93
M,R,N,IT,2019-04,100.47
M,R,N,IT,2019-05,100.4
M,R,N,IT,2019-06,100.58
M,R,N,IT,2019-07,100.33
M,R,N,IT,2019-08,100.61
M,R,N,IT,2019-09,99.66
M,R,N,IT,2019-10,99.43
M,R,N,IT,2019-11,99.27
M,R,N,IT,2019-12,99.22
M,R,N,IT,2020-01,99.44
M,R,N,IT,2020-02,98.81
M,R,N,IT,2020-03,99.88
M,R,N,IT,2020-04,99.66
M,R,N,IT,2020-05,99.51
M,R,N,IT,2020-06,99.98
M,R,N,IT,2020-07,100.21
M,R,N,IT,2020-08,101.1
M,R,N,IT,2020-09,100.37
M,R,N,IT,2020-10,100.24
M,R,N,IT,2020-11,100.12
M,R,N,IT,2020-12,100.68
M,R,N,IT,2021-01,100.83
M,R,N,IT,2021-02,100.46
M,R,N,IT,2021-03,100.05
M,R,N,IT,2021-04,100.1
M,R,N,IT,2021-05,100.04
M,R,N,IT,2021-06,99.63
M,R,N,IT,2021-07,99.53
M,R,N,IT,2021-08,99.49
M,R,N,IT,2021-09,99.13
M,R,N,IT,2021-10,98.7
M,R,N,IT,2021-11,98.47
M,R,N,IT,2021-12,98.34
M,R,N,IT,2022-01,99.43
M,R,N,IT,2022-02,99.73
M,R,N,IT,2022-03,98.47
M,R,N,IT,2022-04,97.55
M,R,N,IT,2022-05,97.55
M,R,N,IT,2022-06,98.17
M,R,N,IT,2022-07,97.36
M,R,N,IT,2022-08,97.43
M,R,N,IT,2022-09,97.08
M,R,N,IT,2022-10,99.72
M,R,N,IT,2022-11,100.77
M,R,N,IT,2022-12,101.66
M,R,N,IT,2023-01,101.65
M,R,N,IT,2023-02,101.11
M,R,N,IT,2023-03,100.18
M,R,N,IT,2023-04,100.6
