STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q4,3.381364073
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q3,2.521166723
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q3,2.176934665
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q2,1.964472309
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q2,1.824159273
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q1,1.570228744
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2013-Q1,2.309473365
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q4,2.842150247
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q4,0.732673708
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q3,1.324693288
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q3,3.527293263
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q2,4.331851888
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2012-Q1,4.838949179
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2011-Q4,3.456324016
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2011-Q3,3.175231823
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2011-Q2,2.472347916
