STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-04,34.0940177658996
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-05,13.499540831944
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-06,5.17647058823496
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-07,5.46137639991371
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-08,6.23455417968788
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-09,5.63262914618743
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-10,4.68622263419842
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-11,4.59979059744005
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2021-12,3.00268840954701
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-01,2.28906804899547
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-02,2.70200387847441
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-03,0.67073280870884
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-04,-2.63393930156339
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-05,-0.727000299670688
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-06,0.957031130942299
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-07,1.82823497396276
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-08,1.43824235337555
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-09,0.904121239761513
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-10,1.58643292401712
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-11,1.60892153129994
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2022-12,0.891456719929584
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-01,0.2424227658125
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-02,-1.47221023353959
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-03,-1.17702645319099
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-04,0.586436106159693
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-05,0.374312502641438
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-06,0.373749388657085
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-07,0.806598559297345
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-08,0.776571799523129
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-09,1.21240624465504
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-10,-0.251802262588396
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-11,-0.730076996531537
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2023-12,-0.862325485360926
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-01,-1.35501355013512
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-02,-0.292027645283754
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-03,0.407908831769865
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-04,-1.03195220935836
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-05,-0.514264061062009
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-06,-1.23377326483702
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-07,-1.26589142616047
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-08,-0.612255955498753
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-09,0.596829381626995
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-10,1.10077491155549
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-11,1.45993400465203
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2024-12,2.41039871118676
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-01,-3.47175516511151
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-02,-2.18770893692867
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-03,-2.1419113638136
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-04,-1.94269076249016
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-05,-1.3891659105148
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-06,-0.598151322682439
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-07,-1.69767113620303
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-08,-0.399417788163137
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-06,0.184530847406661
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-07,0.322675271340889
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-08,0.434516523867767
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2012-09,0.502373069553386
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-01,-1.02111902595247
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,G1,2015-02,-1.05891901488739
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-03,0.663073033439643
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-04,1.66334809757975
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-05,2.3877304842326
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-06,5.32417555652944
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-07,5.57829631322715
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-08,5.68542548451734
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-10,6.67663556553908
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-11,6.43392545435864
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2017-12,6.05695756572457
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-01,5.73285650181581
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-02,6.22585498759747
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-03,6.34333915539478
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,F,Y,GY,2018-04,4.72453534074972
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2007-12,-3.02491613384188
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-01,-2.90447591023973
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-02,-3.83387400422078
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-03,-4.9227952881245
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-04,-3.52209589831151
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-05,-4.04302839691862
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-06,-3.64204072471506
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-07,-1.08891671165526
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-08,-2.85765661882054
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-09,-3.30241208683957
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-10,-2.99385616190831
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,PRVM,GR,BTE,Y,GY,2008-11,-4.46101832639267
