STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-12,1.12589559877181
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-11,1.33882595262611
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-09,2.80082987551866
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-07,3.32294911734161
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-05,3.02713987473917
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-03,3.14795383001059
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-12,3.16789862724389
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-08,2.12314225053076
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-07,2.01271186440679
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-06,1.91489361702122
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-05,2.13219616204687
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-04,2.13219616204687
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-03,1.92513368983953
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2015-01,-1.0309278350516
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-10,-0.280373831775582
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-07,0.281162136832114
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-06,0.281954887218117
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-04,-0.187441424554946
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-03,0.281954887218117
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-02,0.472143531633495
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2014-01,-0.563380281689985
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2013-11,0.188857412653354
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2013-10,-0.188501413760511
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2016-09,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2015-12,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,IX,_Z,_Z,_Z,2024-02,124.510932182752
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,IX,_Z,_Z,_Z,2024-01,123.983790217541
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,IX,_Z,_Z,_Z,2023-10,124.194647003625
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2013-09,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-12,0.809716599190247
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-11,-0.101112234580336
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-05,-0.101214574898745
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-03,-0.202224469160683
