FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,JP,P,A,C,2016-Q1,-0.3
Q,JP,P,A,C,2016-Q2,0.7
Q,JP,P,A,C,2016-Q3,2.6
Q,JP,P,A,C,2016-Q4,4.3
Q,JP,P,A,C,2017-Q1,5.3
Q,JP,P,A,C,2017-Q2,4.8
Q,JP,P,A,C,2017-Q3,5.1
Q,JP,P,A,C,2017-Q4,5.7
Q,JP,P,A,C,2018-Q1,5.3
Q,JP,P,A,C,2018-Q2,6.2
Q,JP,P,A,C,2018-Q3,7.6
Q,JP,P,A,C,2018-Q4,9.5
Q,JP,P,A,C,2019-Q1,10.3
Q,JP,P,A,C,2019-Q2,10.9
Q,JP,P,A,C,2019-Q3,12.2
Q,JP,P,A,C,2019-Q4,13.9
Q,JP,P,A,C,2020-Q1,15.0
Q,JP,P,A,C,2020-Q2,25.6
Q,JP,P,A,C,2020-Q3,27.8
Q,JP,P,A,C,2020-Q4,28.6
Q,JP,P,A,C,2021-Q1,28.3
Q,JP,P,A,C,2021-Q2,25.0
Q,JP,P,A,C,2021-Q3,23.5
Q,JP,P,A,C,2021-Q4,24.0
Q,JP,P,A,C,2022-Q1,22.5
Q,JP,P,A,C,2022-Q2,22.3
Q,JP,P,A,C,2022-Q3,21.5
Q,JP,P,A,C,2022-Q4,21.0
Q,JP,P,A,C,2023-Q1,18.2
Q,JP,P,A,C,2023-Q2,15.9
Q,JP,P,A,C,2023-Q3,14.1
Q,JP,P,A,C,2023-Q4,12.7
Q,JP,P,A,C,2024-Q1,12.4
Q,JP,P,A,C,2024-Q2,11.3
Q,JP,P,A,C,2024-Q3,8.9
Q,JP,P,A,C,2024-Q4,9.2
Q,JP,P,A,C,2025-Q1,6.7
Q,JP,P,A,C,2025-Q2,5.4
Q,DE,P,A,C,2007-Q1,-7.9
Q,DE,P,A,C,2007-Q2,-8.6
Q,DE,P,A,C,2007-Q3,-10.0
Q,DE,P,A,C,2007-Q4,-9.7
Q,DE,P,A,C,2008-Q1,-10.5
Q,DE,P,A,C,2008-Q2,-10.3
Q,DE,P,A,C,2008-Q3,-9.8
Q,DE,P,A,C,2008-Q4,-8.1
Q,DE,P,A,C,2009-Q1,-6.7
Q,DE,P,A,C,2009-Q2,-5.4
Q,DE,P,A,C,2009-Q3,-5.5
Q,DE,P,A,C,2009-Q4,-5.3
Q,DE,P,A,C,2010-Q1,-6.9
Q,DE,P,A,C,2010-Q2,-7.2
Q,DE,P,A,C,2010-Q3,-8.1
Q,DE,P,A,C,2010-Q4,-9.9
Q,DE,P,A,C,2011-Q1,-13.3
Q,DE,P,A,C,2011-Q2,-13.8
Q,DE,P,A,C,2011-Q3,-12.6
Q,DE,P,A,C,2011-Q4,-12.1
Q,DE,P,A,C,2012-Q1,-12.2
Q,DE,P,A,C,2012-Q2,-11.6
Q,DE,P,A,C,2012-Q3,-11.6
Q,DE,P,A,C,2012-Q4,-11.4
Q,DE,P,A,C,2013-Q1,-10.0
Q,DE,P,A,C,2013-Q2,-9.2
Q,DE,P,A,C,2013-Q3,-8.6
Q,DE,P,A,C,2013-Q4,-8.5
Q,DE,P,A,C,2014-Q1,-9.0
Q,DE,P,A,C,2014-Q2,-8.6
Q,DE,P,A,C,2014-Q3,-9.6
Q,DE,P,A,C,2014-Q4,-12.9
Q,DE,P,A,C,2015-Q1,-11.8
Q,DE,P,A,C,2015-Q2,-11.2
Q,DE,P,A,C,2015-Q3,-10.7
Q,DE,P,A,C,2015-Q4,-10.3
Q,DE,P,A,C,2016-Q1,-9.2
Q,DE,P,A,C,2016-Q2,-8.3
Q,DE,P,A,C,2016-Q3,-7.1
Q,DE,P,A,C,2016-Q4,-6.5
Q,DE,P,A,C,2017-Q1,-5.8
Q,DE,P,A,C,2017-Q2,-6.0
Q,DE,P,A,C,2017-Q3,-6.0
Q,DE,P,A,C,2017-Q4,-5.7
Q,DE,P,A,C,2018-Q1,-6.0
Q,DE,P,A,C,2018-Q2,-4.5
Q,DE,P,A,C,2018-Q3,-3.4
Q,DE,P,A,C,2018-Q4,-3.5
Q,DE,P,A,C,2019-Q1,-2.3
Q,DE,P,A,C,2019-Q2,-0.9
Q,DE,P,A,C,2019-Q3,-0.5
Q,DE,P,A,C,2019-Q4,-0.1
Q,DE,P,A,C,2020-Q1,1.1
Q,DE,P,A,C,2020-Q2,6.4
Q,DE,P,A,C,2020-Q3,8.5
Q,DE,P,A,C,2020-Q4,9.9
Q,DE,P,A,C,2021-Q1,11.6
Q,DE,P,A,C,2021-Q2,8.5
Q,DE,P,A,C,2021-Q3,7.4
Q,DE,P,A,C,2021-Q4,6.8
Q,DE,P,A,C,2022-Q1,5.8
Q,DE,P,A,C,2022-Q2,5.0
Q,DE,P,A,C,2022-Q3,5.9
Q,DE,P,A,C,2022-Q4,4.2
Q,DE,P,A,C,2023-Q1,1.9
Q,DE,P,A,C,2023-Q2,0.4
Q,DE,P,A,C,2023-Q3,-1.3
Q,DE,P,A,C,2023-Q4,-2.3
Q,DE,P,A,C,2024-Q1,-2.7
Q,DE,P,A,C,2024-Q2,-2.7
Q,DE,P,A,C,2024-Q3,-2.5
Q,DE,P,A,C,2024-Q4,-2.8
Q,DE,P,A,C,2025-Q1,-2.0
Q,DE,P,A,C,2025-Q2,-2.2
Q,CA,P,A,C,2007-Q1,1.1
Q,CA,P,A,C,2007-Q2,0.8
Q,CA,P,A,C,2007-Q3,1.9
Q,CA,P,A,C,2007-Q4,2.0
Q,CA,P,A,C,2008-Q1,4.5
Q,CA,P,A,C,2008-Q2,2.9
Q,CA,P,A,C,2008-Q3,2.6
